id,tipo,estado,oferta,precio,moneda,nro_ambientes,nro_banios,zona,ciudad,area_m2,latitud,longitud
CAS00161,casa,disponible,venta,630000.0,dolar,4,4,La Florida,La Paz,500.0,-16.547213,-68.089127
DEP00279,departamento,disponible,alquiler,2000.0,dolar,2,2,San Miguel,La Paz,180.0,-16.540031,-68.077873
DEP00280,departamento,disponible,venta,66120.0,dolar,1,1,Sopocachi,La Paz,52.0,-16.517508,-68.130859
DEP00281,departamento,disponible,alquiler,550.0,dolar,2,2,Sopocachi,La Paz,70.0,-16.510265,-68.125298
DEP00282,departamento,disponible,alquiler,900.0,dolar,4,3,Calacoto,La Paz,207.0,-16.541348,-68.082687
CAS00162,casa,disponible,venta,980000.0,dolar,4,6,San Alberto,La Paz,591.0,-16.532791,-68.091064
OFI00070,oficina,disponible,alquiler,4576.0,dolar,1,5,Calacoto,La Paz,352.0,-16.540031,-68.084999
DEP00283,departamento,disponible,alquiler,450.0,dolar,1,1,Calacoto,La Paz,50.0,-16.538015,-68.080605
CAS00163,casa,disponible,anticretico,105000.0,dolar,3,5,Calacoto,La Paz,380.0,-16.53985,-68.081757
DEP00284,departamento,disponible,alquiler,220.0,dolar,1,1,Obrajes,La Paz,70.0,-16.529953,-68.115601
OFI00071,oficina,disponible,venta,135000.0,dolar,5,1,Sopocachi,La Paz,120.0,-16.51189,-68.124557
CAS00164,casa,disponible,alquiler,900.0,dolar,3,5,Achumani,La Paz,400.0,-16.530243,-68.070107
DEP00285,departamento,disponible,alquiler,1500.0,dolar,3,4,Calacoto,La Paz,214.0,-16.539949,-68.087234
TER00037,terreno,disponible,venta,2850000.0,dolar,0,0,Achumani,La Paz,8216.0,-16.51436,-68.058884
OFI00072,oficina,disponible,alquiler,650.0,dolar,2,1,Calacoto,La Paz,80.0,-16.540607,-68.088135
DEP00286,departamento,disponible,alquiler,400.0,dolar,2,2,Achumani,La Paz,88.0,-16.53166,-68.072212
CAS00165,casa,disponible,venta,185000.0,dolar,12,5,Tembladerani,La Paz,435.0,-16.506313,-68.148964
DEP00287,departamento,disponible,alquiler,650.0,dolar,2,3,Calacoto,La Paz,160.0,-16.539333,-68.080238
DEP00288,departamento,disponible,alquiler,500.0,dolar,2,3,Irpavi,La Paz,120.0,-16.529821,-68.086082
DEP00289,departamento,disponible,alquiler,1100.0,dolar,3,3,Calacoto,La Paz,187.0,-16.539785,-68.087059
TER00038,terreno,disponible,venta,398000.0,dolar,0,0,Cota Cota,La Paz,543.0,-16.540401,-68.056198
DEP00290,departamento,disponible,alquiler,900.0,dolar,2,3,La Florida,La Paz,135.0,-16.546101,-68.089897
OFI00073,oficina,disponible,alquiler,1600.0,dolar,10,4,Calacoto,La Paz,350.0,-16.54213,-68.085213
DEP00291,departamento,disponible,alquiler,450.0,dolar,2,1,Achumani,La Paz,52.0,-16.536377,-68.079185
CAS00166,casa,vendido,venta,320000.0,dolar,4,5,Achumani,La Paz,380.0,-16.535652,-68.072876
CAS00167,casa,disponible,alquiler,1200.0,dolar,3,6,Achumani,La Paz,400.0,-16.526014,-68.074562
DEP00292,departamento,disponible,alquiler,500.0,dolar,2,3,Calacoto,La Paz,108.0,-16.541471,-68.083755
DEP00293,departamento,disponible,alquiler,300.0,dolar,1,1,Irpavi,La Paz,40.0,-16.520859,-68.085884
CAS00168,casa,disponible,venta,550000.0,dolar,4,4,Achumani,La Paz,320.0,-16.532915,-68.074249
DEP00294,departamento,disponible,alquiler,270.0,dolar,1,1,Auquisamaña,La Paz,40.0,-16.547724,-68.068626
DEP00295,departamento,disponible,alquiler,1000.0,dolar,1,2,Calacoto,La Paz,80.0,-16.540319,-68.084953
DEP00296,departamento,disponible,alquiler,350.0,dolar,2,3,Irpavi,La Paz,108.0,-16.50292,-68.081116
TER00039,terreno,disponible,venta,300000.0,dolar,0,0,Río Abajo,La Paz,2000.0,-16.629614,-68.051079
CAS00169,casa,disponible,alquiler,1600.0,dolar,9,3,Obrajes,La Paz,250.0,-16.529089,-68.102806
DEP00297,departamento,disponible,alquiler,350.0,dolar,2,2,Calacoto,La Paz,90.0,-16.539291,-68.078735
OFI00074,oficina,disponible,venta,214500.0,dolar,5,3,Calacoto,La Paz,143.0,-16.538591,-68.07663
DEP00298,departamento,disponible,alquiler,450.0,dolar,2,3,Achumani,La Paz,120.0,-16.524544,-68.068283
TER00040,terreno,disponible,venta,430000.0,dolar,0,0,Irpavi,La Paz,1272.0,-16.511211,-68.085045
CAS00170,casa,disponible,alquiler,1600.0,dolar,3,2,Calacoto,La Paz,250.0,-16.539703,-68.080276
OFI00075,oficina,disponible,alquiler,2000.0,dolar,3,3,Calacoto,La Paz,250.0,-16.540155,-68.086929
DEP00299,departamento,disponible,alquiler,800.0,dolar,3,4,Calacoto,La Paz,320.0,-16.539537,-68.081635
DEP00300,departamento,disponible,alquiler,900.0,dolar,3,3,Calacoto,La Paz,175.0,-16.541143,-68.084656
LOC00026,local comercial,disponible,alquiler,500.0,dolar,1,1,Irpavi,La Paz,34.0,-16.519964,-68.08567
CAS00171,casa,disponible,alquiler,3000.0,dolar,5,6,Aranjuez,La Paz,619.0,-16.550522,-68.091805
DEP00301,departamento,disponible,alquiler,1350.0,dolar,3,3,San Miguel,La Paz,180.0,-16.540813,-68.080063
CAS00172,casa,disponible,venta,120000.0,dolar,3,3,Achumani,La Paz,132.0,-16.506294,-68.046745
DEP00302,departamento,disponible,alquiler,1200.0,dolar,3,4,Calacoto,La Paz,190.0,-16.543528,-68.091698
CAS00173,casa,disponible,venta,750000.0,dolar,6,8,Río Abajo,La Paz,750.0,-16.642443,-68.045029
DEP00303,departamento,disponible,venta,199100.0,dolar,4,6,Los Pinos,La Paz,257.0,-16.540379,-68.074127
CAS00174,casa,disponible,venta,430000.0,dolar,5,5,Entre 5to y 6to anillo Norte,Santa Cruz de la Sierra,571.0,-17.731726,-63.173225
OFI00076,oficina,disponible,alquiler,9000.0,dolar,10,6,Sirari,Santa Cruz de la Sierra,545.0,-17.760134,-63.200851
TER00041,terreno,disponible,venta,77330.0,dolar,0,0,Urubó,Santa Cruz de la Sierra,703.0,-17.705027,-63.220688
DEP00304,departamento,disponible,alquiler,420.0,dolar,1,1,Entre 2do y 3er anillo Norte,Santa Cruz de la Sierra,466.0,-17.762671,-63.174702
TER00042,terreno,disponible,venta,1262940.0,dolar,0,0,Las Palmas,Santa Cruz de la Sierra,1052.0,-17.804317,-63.211163
CAS00175,casa,disponible,venta,86000.0,dolar,3,2,Distrito 12,Santa Cruz de la Sierra,85.0,-17.851448,-63.152946
DEP00305,departamento,disponible,venta,152000.0,dolar,3,4,Entre 4to y 5to anillo Norte,Santa Cruz de la Sierra,158.0,-17.746948,-63.169838
DEP00306,departamento,disponible,venta,20000.0,dolar,1,1,Entre 1er y 2do anillo Norte,Santa Cruz de la Sierra,55.0,-17.773169,-63.182587
CAS00176,casa,disponible,alquiler,1900.0,dolar,4,6,Entre 5to y 6to anillo Norte,Santa Cruz de la Sierra,280.0,-17.738699,-63.163666
TER00043,terreno,disponible,venta,730000.0,dolar,0,0,Entre 1er y 2do anillo Este,Santa Cruz de la Sierra,22640.0,-17.781113,-63.168037
DEP00307,departamento,disponible,alquiler,470.0,dolar,3,2,Entre 7mo y 8vo anillo Norte,Santa Cruz de la Sierra,84.0,-17.715485,-63.175678
CAS00177,casa,disponible,venta,150000.0,dolar,7,3,Entre 5to y 6to anillo Este,Santa Cruz de la Sierra,283.0,-17.773026,-63.126495
CAS00178,casa,disponible,alquiler,730.0,dolar,3,4,Urubó,Santa Cruz de la Sierra,280.0,-17.7624,-63.236736
QUI00001,quinta propiedad agricola,disponible,venta,750000.0,dolar,9,12,Doble vía La Guardia,Santa Cruz de la Sierra,741.0,-17.958361,-63.248222
TER00044,terreno,disponible,alquiler,1400.0,dolar,0,0,Pampa de la isla,Santa Cruz de la Sierra,7812.0,-17.743946,-63.064587
CAS00179,casa,disponible,venta,3300000.0,dolar,7,15,Urubó,Santa Cruz de la Sierra,2100.0,-17.749241,-63.226395
CAS00180,casa,disponible,venta,245000.0,dolar,4,4,Carretera Norte,Santa Cruz de la Sierra,220.0,-17.703096,-63.188641
TER00045,terreno,disponible,venta,235000.0,dolar,0,0,Carretera Norte,Santa Cruz de la Sierra,2950.0,-17.659477,-63.158669
DEP00308,departamento,disponible,alquiler,245.0,dolar,1,1,Equipetrol,Santa Cruz de la Sierra,40.0,-17.760124,-63.192829
CAS00181,casa,disponible,venta,1100000.0,dolar,4,7,Entre 5to y 6to anillo Oeste,Santa Cruz de la Sierra,522.0,-17.811621,-63.229332
CAS00182,casa,disponible,venta,393000.0,dolar,3,3,Barrio Urbari,Santa Cruz de la Sierra,258.0,-17.793818,-63.199139
CAS00183,casa,disponible,alquiler,1630.0,dolar,3,4,Entre 4to y 5to anillo Norte,Santa Cruz de la Sierra,260.0,-17.738976,-63.178055
PAR00003,parqueo,disponible,venta,11490.0,dolar,0,0,Centro,Santa Cruz de la Sierra,10.0,-17.78685,-63.181389
CAS00184,casa,disponible,venta,290000.0,dolar,3,5,El Remanso,Santa Cruz de la Sierra,372.0,-17.715965,-63.167782
TER00046,terreno,disponible,venta,335000.0,dolar,0,0,Urubó,Santa Cruz de la Sierra,859.0,-17.748831,-63.226093
CAS00185,casa,disponible,venta,45300.0,dolar,3,2,Pampa de la isla,Santa Cruz de la Sierra,164.0,-17.74964,-63.093498
DEP00309,departamento,disponible,alquiler,1100.0,dolar,3,4,Entre 5to y 6to anillo Norte,Santa Cruz de la Sierra,215.0,-17.732662,-63.169952
DEP00310,departamento,disponible,alquiler,390.0,dolar,2,2,Sirari,Santa Cruz de la Sierra,65.0,-17.763468,-63.19944
DEP00311,departamento,disponible,alquiler,950.0,dolar,2,3,Entre 2do y 3er anillo Norte,Santa Cruz de la Sierra,173.0,-17.764996,-63.173496
TER00047,terreno,disponible,venta,750000.0,dolar,0,0,Entre 8vo y 9no anillo Norte,Santa Cruz de la Sierra,6991.0,-17.717129,-63.145489
CAS00186,casa,disponible,venta,1300000.0,dolar,4,7,Entre 2do y 3er anillo Norte,Santa Cruz de la Sierra,583.0,-17.765802,-63.179924
CAS00187,casa,disponible,alquiler,2100.0,dolar,4,5,Entre 3er y 4to anillo Oeste,Santa Cruz de la Sierra,470.0,-17.802969,-63.213242
TER00048,terreno,disponible,venta,99000.0,dolar,0,0,Urubó,Santa Cruz de la Sierra,625.0,-17.765997,-63.24498
CAS00188,casa,disponible,alquiler,670.0,dolar,3,2,Hamacas,Santa Cruz de la Sierra,250.0,-17.751995,-63.170788
CAS00189,casa,disponible,venta,230000.0,dolar,4,5,Entre 6to y 7mo anillo Sur,Santa Cruz de la Sierra,226.0,-17.847635,-63.189606
CAS00190,casa,disponible,venta,169000.0,dolar,5,3,Carretera Norte,Santa Cruz de la Sierra,193.0,-17.698927,-63.18013
CAS00191,casa,disponible,venta,169000.0,dolar,5,4,Carretera Norte,Santa Cruz de la Sierra,193.0,-17.673044,-63.188774
EDI00013,edificio,disponible,venta,600000.0,dolar,8,5,Plan 3000,Santa Cruz de la Sierra,1134.0,-17.853062,-63.110119
CAS00192,casa,disponible,venta,213000.0,dolar,4,5,Entre 6to y 7mo anillo Este,Santa Cruz de la Sierra,386.0,-17.769693,-63.109882
LOC00027,local comercial,disponible,venta,25000.0,dolar,1,2,Equipetrol,Santa Cruz de la Sierra,105.0,-17.768248,-63.196606
CAS00193,casa,disponible,venta,600000.0,dolar,4,6,Urubó,Santa Cruz de la Sierra,431.0,-17.740482,-63.226879
